nohaaa,2a5eraaan
Enty ya benty msh btrodii 3la elbta3 da abdan,el net kan mtnayel
Hoa enty lazm TB2i online,:D
Ahaaa ok,eh akhbar el sa23a 3ndkim
Tab matsha3'ali 5edmt el iphone men Vodafone,?
eh da nezmha eh de??!!,Ana fe Alex:)
bgd? tab 3azeeeem,B 100 geneh felshahr
:),Bs 7atsh3'lk kol 7aga
bgd?? zy eh ya3ny?,Elnet w el apps
7elw el kalam da,el 7amdo leallah :)
da7'lna fl gad ba2a,Yesss tab3an
Hhhhhh tayb 7elw msa,3amla eiih enty weih 2a5bar el 5otoba 3la 7eseek?
Btgahzo el flat!!,heya mtshtba el mafrod
Hia feeen,Hena wla Cairo!
lisa el 7'shab kolo w el agheza,hena fe sede bshr isa
Msa,E7na fat7na restaurant ll waffles we'll crepes we'll pancakes fe kafr 3abdo
Ana w Karim 2a5oya w mahmoud partners,3ayznko tzbtona ba2a:)
eh da bgd??,fen bzabt?
ya3ny 7tfdli 23da fe Alex?,Fe kafr 3abdo gamb pinky
eb da mesh 3arfah bardo :s,Fe share3 el isma3ilia
De el menu:),yareeet
Mmkn tetlobi delievery kaman:),Ana 3ayza agyblko menus wlahiii
send 3ala el fb lw momken,heya soraa??
Ma hia Dee,Msh wad7a 3andaak??
Mmkn ab3thalko 3la elmail:),Ok Ana ba3thalak tanii
Mana 3amltlk invite ll page 3la el Fbk:),Yes hia sora:)
<media omitted>,Eih ra2yk?
7elw awe,momayaz
Bgd??,ahh tab3an msa
7ab3thalkom isa 3la elmails Tom:) 3shn tzbtona:),ana mo3gaba bl mashro3 asln
Bgd??,Ta3alii sharkena:)
shof ya a7'y elbany 2admen :D,W m3 zalk msh 3arfa tgeb 2oda m2asha mazbot
Bs b2a ya sedy w omnia omnia gabt i fone    :D,e7s :D
yade elsyaaaa7 :$,Ana 3agbny el bta3 da bs el moshkla eny msh 3arfa ad5ol wireless w bad5ol b el 5t     :S
La2 ensy ay 7aga twsl l shaza yb2a btwslny f nfs el la7za :D,Fakrteny as2al 3mlt eh f el exam
ahaaa w ana 3ala frkra now a7'do mny 5 LE :$,de 3alam 3'arebaaa!!
O5tk gaia f 3ed el fas7 ?,ahy gambi ahee
5 lE ya boyyyy la ana 7amshy mn hna ana aslan m3aia gneh,ana fe cairo
Slmy 3aliha kteeer,ana 3shan iphone lkn 3'er keda 3ady
W 2oly l karim y3zmk 3la ice cream quidar,Tyb el 7amdolalah eny fa2era w m3aia mobile 3aml nafso black berry
mai bt2olak men 3azmk 3aleh 2abl keda,?
Bareeee2 ya beh,e3trfy ya bet
mesh nawya t7kili ba2a :D,Wlahy da abeh karim hoa ely 2aly 3alih
Mna bt3lm what's app leh ;),Fen ayam zman lma el wa7d kan bytzbt b sms :D
:D bzabt keda,howa gamed
Eh hoa el whats app :dd,?
awya ya bet howa fe 3'eroo,Ya omnia enty aslk mn zmn el gwabat msh 2adra asd2 en de omnia :D
hehhehehhheee ana 3andy gawbat bl3abet,Hehehehehhee bs rbna akrmk now aho
:))),eh nashtatak ela7'eraa ba2a?
Mat3rfesh shimaa w fo2ad gom wla l2,howa msrosh asln i think
"Mmmmm nshtat , momkn atklm 3n el ksl :D ?",hehegegeee. leh keda ba2a?
Hia dayman el nashtat tnthy el nhaia de :D el mohm eshtrety el mla7a w fta7t el 3lb w m3al2 el ice cream ?,Yala 7a2om now ashofk later 3 el bta3 da :)
salam ya 7oby :),btzkry ya hanem
Yaa enty men ?,omnia hanem
Tyb w btetklmy 3n nfsk kda leh msh bt7beky ?,men de!!
Enty bt2oly 3la nfsk omnia hanm leh,M3lsh asly bzakr w bab2a 3'abia f el wa2t da
3amla eh monety ??,nfsy ashofek
wa7shtenee :),a7'er mara shoftek kan mn zamana :(
i miss you bgd,nfsu ashofek ba2a
yenf3 keda tayeb ?,Wallahy wa7shany aktr
Maho 7adretek kan 3ndek fara7 ne3mel e7na eeeeh b2a,:)
:),m3lsh 7abebty :( tab a3ml eh da fara7 ebn khlty :(
La isa n3wdha :),Omnia hwa el wedd isA haykoun open air el dohr ?
3ashan i saw a dress bs black * shyfon msh haynfa3 lw dohr sa7 ??,Omniaaa sryy msh 3arfa arod ana f lec.
Sryyyyy,mobilek 3'er mota7 :$
nadaaa,Omnia walahy sry t3bt w nmt kol da
momken acall you now ? :),nadaaa
Ahhhh sure,keda kter :$ shewaya byrn w shewaya 3'er motaaa7
Ah walahy etisalat w7sha awe hna asfa bgd,:(
Btfdy a call u emta olele,da eh el3'alsa de :(
Ana asef walahy :(,Enty wa7shany aweeee
3amla eh tmneny,tab mfesh 7eta yekon fe nw 3edla kada :(
Mna wa2fa f el shbak w brdo,enty kaman wa7shany w wa7shny sotek asln :)
tab mfesh ebn geran?? :D,Omniaaaaaaa el nw 3ndy whsha aweeee bosy bokra isa awl ma ash7en haklmk
:$ rbnz ye5alikiii walahy enty aktr,:)
